"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	409.835
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	620.12
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	567.466
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	510.5
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	428.036
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	424.405
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	442.716
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	415.871
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	438.855
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	456.64
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	428.614
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	377.187
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	290.93
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	277.926
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	400.677
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	452.46
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	433.388
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	430.323
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	400.265
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	391.224
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	400.593
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	450.135
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	448.912
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	449.109
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	77.651
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	92.239
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	68.713
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	177.771
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	28.066
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	55.45
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	11.614
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	644.765
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	7.661
