"Sample_name"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"Genome bin"	"percent"
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"Week 8"	"Nitrate reduction"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.651564855209034
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"Week 8"	"Sulphate reduction"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.60404907277567
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"Week 8"	"Sulphate reduction"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	1.95844301875774
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	3.14152854299248
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	1.39592232703279
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	2.11390236712186
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	3	"MBSoxNitrifying4mlFreshRep3_complete.11"	1.37665175285589
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.122740736549441
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0505528005541496
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	3	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0255969687669245
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.245817062533141
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.193368975454174
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	3	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.118450412583752
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0507965182839087
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.151436959869941
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.433141244390198
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0769788230138406
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0140447208415978
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0171190236997333
