Nitrifying_Week8_Aerobic_rep3_RNA	Nitrifying_PelletRNA_Week8_Aerobic_tube6_rep3_S16_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Ironreduction_rep3_RNA	Nitrifying_PelletRNA_Week8_IronReduction_DNARNAkit_tube18_rep3_S24_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Ironreduction_rep3_RNA	Nitrifying_PelletRNA_Week8_IronReduction_DNARNAkit_tube18_rep3_S24_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Nitratereduction_rep1_RNA	Nitrifying_PelletRNA_Week8_NitrateReduction_tube10_rep1_S17_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Nitratereduction_rep1_RNA	Nitrifying_PelletRNA_Week8_NitrateReduction_tube10_rep1_S17_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Nitratereduction_rep2_RNA	Nitrifying_PelletRNA_Week8_NitrateReduction_tube11_rep2_S18_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Nitratereduction_rep2_RNA	Nitrifying_PelletRNA_Week8_NitrateReduction_tube11_rep2_S18_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Sulphatereduction_rep1_RNA	Nitrifying_PelletRNA_Week8_SulphateReduction_tube22_rep1_S19_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Sulphatereduction_rep1_RNA	Nitrifying_PelletRNA_Week8_SulphateReduction_tube22_rep1_S19_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Sulphatereduction_rep2_RNA	Nitrifying_PelletRNA_Week8_SulphateReduction_tube23_rep2_S20_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Sulphatereduction_rep2_RNA	Nitrifying_PelletRNA_Week8_SulphateReduction_tube23_rep2_S20_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Sulphatereduction_rep3_RNA	Nitrifying_PelletRNA_Week8_SulphateReduction_tube24_rep3_S21_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Sulphatereduction_rep3_RNA	Nitrifying_PelletRNA_Week8_SulphateReduction_tube24_rep3_S21_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_PositiveRNA	Nitrifying_ZymoCommunityStdRNA_S22_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_PositiveRNA	Nitrifying_ZymoCommunityStdRNA_S22_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
